,lag_4,lag_14,lag_15,diff_1_lag_1,log_lag_1,log_lag_2,log_lag_4,log_lag_10,max_8,var_8,ma_14,skew_18,ema_0.1,ema_0.2,ema_0.3,tema_0.3,dema_0.7,ema_0.9,dema_0.9,tema_0.9,momentum_20,macd_signal,macd_hist,adx,bb_lower,bb_width,month_2,is_end_month,ema_diff_0.5_0.1,dist_to_ema_0.5,is_peak,is_trough,skew_20,coeff_var_20
lag_4,1.0,0.9555839820751997,0.9503752700418899,-0.05761266943938162,0.9718058295591516,0.9764446804970394,0.986580905420787,0.9469697695205711,0.9653639760696489,-0.251332760496577,0.9528710698828374,0.016603211635582225,0.950342537021255,0.9811410170654576,0.9877055349650804,0.9831143357719557,0.9815701993973007,0.982635548943224,0.9812507123587045,0.9812283777242564,0.3265918606394031,0.5106164714624688,-0.008241414483787204,-0.2062811944286341,0.8722806844054446,-0.48104360683106645,0.05658934822347623,0.024934632251122843,0.31987351452542645,0.026507042234728075,0.057984895984371496,0.023262766368462823,0.028813287214061914,-0.48104351753361235
lag_14,0.9555839820751997,1.0,0.9954111105054502,-0.06608798998523241,0.9178453759276393,0.9229765507046982,0.939568935420599,0.9600641772975429,0.9593834575700595,-0.15776321594982087,0.9596915150850407,-0.045829744395675276,0.9510712811129745,0.9639960271258723,0.9589922940837705,0.9321948517728988,0.9331487435551951,0.9351507590061695,0.9329850904738904,0.9329691296091729,0.23435829185192472,0.47686087196376264,-0.15544978453479674,-0.20180167414021508,0.8822027356614514,-0.48840540573337904,0.052513260700256116,0.024683141260727057,0.18213464445758068,-0.05849348546771435,0.04907736007240732,0.03430422940370093,-0.043623822823900364,-0.48840530799863774
lag_15,0.9503752700418899,0.9954111105054502,1.0,-0.06361654828575496,0.9136455399688982,0.918286539444874,0.9336857335736258,0.9546633008920522,0.9587621550232993,-0.14841125343265238,0.9594696696523112,-0.04672141841803059,0.9510272011305028,0.9618198908990668,0.955692333370594,0.9271665133169803,0.928305485003693,0.9303509932426521,0.9281019010894395,0.928078912938871,0.22354382066440892,0.4711449641583648,-0.170151261117084,-0.20136885917799383,0.8835605449612091,-0.4877656971598116,0.0496877130257048,0.0256499138444474,0.16802337393442457,-0.06553583729079501,0.04572787513864285,0.03849097711240903,-0.04699973192355915,-0.4877655994693949
diff_1_lag_1,-0.05761266943938162,-0.06608798998523241,-0.06361654828575496,1.0,0.039930423160535924,-0.061931732427937924,-0.07016070868259473,-0.07102455377002138,-0.04021418751360131,-0.02456853963319225,-0.0567252116681968,0.14680424530373154,-0.05367361265288357,-0.03320514901090443,-0.017154479451623936,0.03044690324171949,0.045990028836831516,0.042058294701234004,0.046645603849616565,0.04646910770593793,0.15692457761248602,0.021944807243433402,0.17309260942348603,0.001073197870122054,-0.055191688721199235,0.03606195588558682,0.013923035853415125,0.004121722342902369,0.19917808935371392,0.38336269806565637,0.1403422460830692,-0.14854341698745377,0.12753362845992353,0.036061940219428046
log_lag_1,0.9718058295591516,0.9178453759276393,0.9136455399688982,0.039930423160535924,1.0,0.9935390370062575,0.9801090992379169,0.9332253072279022,0.9273811408512557,-0.3516079813799112,0.9189669396324698,0.06801171466997101,0.9173054558976513,0.956915545439899,0.9698315219801515,0.9819831353365677,0.981720234910809,0.9815623098806965,0.981026055172218,0.9809367034647832,0.3775237098213162,0.5220067069433907,0.05939680316764493,-0.22307371727025277,0.8612193509816388,-0.5357138330853288,0.061803223022179186,0.028920991942587834,0.3936786990544985,0.11503444280668515,0.0770577735438592,0.007080470131723374,0.07919715390742253,-0.5357137436908029
log_lag_2,0.9764446804970394,0.9229765507046982,0.918286539444874,-0.061931732427937924,0.9935390370062575,1.0,0.9875511459712503,0.9411235173267367,0.9297489981974247,-0.35144192627303067,0.9232775522302042,0.05323884277238509,0.9212446064551273,0.9589963784858978,0.9703951325155271,0.9777984177950986,0.9756025708629883,0.9758515312408989,0.9747853290639811,0.9747093671034344,0.3617462693807305,0.5198813041792526,0.043411319496363926,-0.22181697999630465,0.8655452382784461,-0.5404223927135006,0.06070034519560136,0.030055410403769956,0.37432013238065,0.07244921373124488,0.0644769630430213,0.019474183912279414,0.06646344961823797,-0.5404223012165612
log_lag_4,0.986580905420787,0.939568935420599,0.9336857335736258,-0.07016070868259473,0.9801090992379169,0.9875511459712503,1.0,0.9568393511699352,0.9360916318293072,-0.3273457601205557,0.9328818208889909,0.03093404782963028,0.9294919816109023,0.9627294717964213,0.9703030184494473,0.9670511454365588,0.9645112925161101,0.9655399904661296,0.9640468702640645,0.9640160073868878,0.3310934664615056,0.5184330618336543,-0.0014608868049681215,-0.21956996801303927,0.8749207765033331,-0.5493498535591078,0.05818845887415835,0.025649354834448752,0.32934722191675314,0.020378266788606478,0.0567143938257683,0.02734308895302531,0.04473458368664509,-0.5493497573481609
log_lag_10,0.9469697695205711,0.9600641772975429,0.9546633008920522,-0.07102455377002138,0.9332253072279022,0.9411235173267367,0.9568393511699352,1.0,0.9324389387626575,-0.21013845079548882,0.9293446307464479,-0.014150049209705168,0.9198719883592252,0.9437328049665119,0.9438561413589165,0.9242027868250756,0.9244394737270253,0.9261129120986502,0.9241515960605813,0.9241269863471087,0.2842894656057954,0.5078987931004945,-0.0954293616798351,-0.21252135301693395,0.87453023160843,-0.5677667916729365,0.05750191886292522,0.003347397075669242,0.24316734080914135,-0.0360562206524372,0.062171165306132585,0.030091881109795077,-0.0034800014668334915,-0.5677666879170667
max_8,0.9653639760696489,0.9593834575700595,0.9587621550232993,-0.04021418751360131,0.9273811408512557,0.9297489981974247,0.9360916318293072,0.9324389387626575,1.0,-0.07890557338140278,0.9723867564982979,-0.050952505332565665,0.9679559479018368,0.9810448663257892,0.9771987710939305,0.9533939036756269,0.9543878786083951,0.9562371631111788,0.9542364160288668,0.9542212094322082,0.23391261361198085,0.4705601233319969,-0.1356904544599409,-0.14957091920430007,0.8634996430171533,-0.40096483753956463,0.05844620882481288,0.02248219643849946,0.19520914738904113,-0.04129939854434215,0.04761125686167313,0.018901781840633996,-0.04596526679538782,-0.4009647381580464
var_8,-0.251332760496577,-0.15776321594982087,-0.14841125343265238,-0.02456853963319225,-0.3516079813799112,-0.35144192627303067,-0.3273457601205557,-0.21013845079548882,-0.07890557338140278,1.0,-0.19983496441536353,-0.09982051216771576,-0.2015654931848767,-0.23166912596105885,-0.2473491765648267,-0.2751592501287174,-0.271049484203036,-0.2697632696694681,-0.27003100695001514,-0.2699245973098053,-0.19394421164847148,-0.17036127182316702,-0.1658402433259296,0.2604305177419235,-0.33165185877798226,0.5099378260521328,0.04925435126731489,-0.04708229549867878,-0.24540209992110895,-0.10207400246155572,-0.037577516728921644,-0.03136257350617724,-0.10672613820945971,0.5099378541649539
ma_14,0.9528710698828374,0.9596915150850407,0.9594696696523112,-0.0567252116681968,0.9189669396324698,0.9232775522302042,0.9328818208889909,0.9293446307464479,0.9723867564982979,-0.19983496441536353,1.0,-0.0932352306816633,0.9948611696370097,0.9892239386765309,0.9755569568168551,0.9357474146358199,0.9370339256725352,0.9396061575976955,0.9368042319990089,0.9367850244704904,0.13253004085993214,0.42384329877554683,-0.25852280504779496,-0.18756704506139185,0.9352003913777555,-0.5050030150853965,0.015599429739039538,0.03207093913123617,0.07524319297654207,-0.11377767740024851,0.045167451331751256,0.03760117655929115,-0.09779860275936779,-0.505002923497432
skew_18,0.016603211635582225,-0.045829744395675276,-0.04672141841803059,0.14680424530373154,0.06801171466997101,0.05323884277238509,0.03093404782963028,-0.014150049209705168,-0.050952505332565665,-0.09982051216771576,-0.0932352306816633,1.0,-0.057887381650057114,-0.04234449185719639,-0.018188823725700038,0.05211370556896513,0.055581009862607646,0.05181095454120008,0.05662487116516938,0.056694954108049624,0.0711905690310167,-0.11449928526883978,0.33073931305026766,-0.07754069050201728,-0.028985351536568473,-0.06352977092024589,0.06344454875465076,-0.014568563830234114,0.24160105758464132,0.40103019785486116,0.08244490427823642,-0.07792494347725983,0.8645658604765127,-0.06352978421173693
ema_0.1,0.950342537021255,0.9510712811129745,0.9510272011305028,-0.05367361265288357,0.9173054558976513,0.9212446064551273,0.9294919816109023,0.9198719883592252,0.9679559479018368,-0.2015654931848767,0.9948611696370097,-0.057887381650057114,1.0,0.9861372942979736,0.9720136739261122,0.9352973813568654,0.9358323091079628,0.9382447416911623,0.9355458482329709,0.9355203411489333,0.08134455153682492,0.34863413174327273,-0.2326959324735459,-0.20380062521033598,0.9384549734770523,-0.499034322009937,0.02350838020336277,0.028170864163936448,0.050978781282924886,-0.10251398321317225,0.04601709553392335,0.031710609324754946,-0.06102502537445897,-0.49903423388238266
ema_0.2,0.9811410170654576,0.9639960271258723,0.9618198908990668,-0.03320514901090443,0.956915545439899,0.9589963784858978,0.9627294717964213,0.9437328049665119,0.9810448663257892,-0.23166912596105885,0.9892239386765309,-0.04234449185719639,0.9861372942979736,1.0,0.9970577437108905,0.9752911389957728,0.9742671164769571,0.9760527152070751,0.9737331495070397,0.9736853222327227,0.23512864254564697,0.47502801052754656,-0.12512096830730043,-0.19841052398739376,0.9158538113473919,-0.4981782281697462,0.03361211227581969,0.03597297986903359,0.20743064483478038,-0.05208129359158167,0.05590985294139206,0.027077720927526045,-0.037974682578182796,-0.4981781387551798
ema_0.3,0.9877055349650804,0.9589922940837705,0.955692333370594,-0.017154479451623936,0.9698315219801515,0.9703951325155271,0.9703030184494473,0.9438561413589165,0.9771987710939305,-0.2473491765648267,0.9755569568168551,-0.018188823725700038,0.9720136739261122,0.9970577437108905,1.0,0.988499409300051,0.9867391115561442,0.9880284978040853,0.9860747301743765,0.9860124956997869,0.29652225761256806,0.5064565513122483,-0.055840914800480534,-0.20079387808010066,0.8971167359950494,-0.4908600358325038,0.04267524913833647,0.037709773401990325,0.2804642020664894,-0.011910031272974415,0.06339895193997848,0.01988546531997333,-0.009688936532349379,-0.4908599478218341
tema_0.3,0.9831143357719557,0.9321948517728988,0.9271665133169803,0.03044690324171949,0.9819831353365677,0.9777984177950986,0.9670511454365588,0.9242027868250756,0.9533939036756269,-0.2751592501287174,0.9357474146358199,0.05211370556896513,0.9352973813568654,0.9752911389957728,0.988499409300051,1.0,0.9984709353781145,0.9984721617521068,0.9977131847700687,0.9976278513732674,0.3807034082764236,0.5214491003405647,0.07115339028100812,-0.20708572044391077,0.8547992268058066,-0.4689247341534468,0.06301679528313198,0.034864632906868344,0.3982954576503494,0.10066839627931631,0.08665410237554041,-0.0058035919830062834,0.06444394552557026,-0.46892465121197774
dema_0.7,0.9815701993973007,0.9331487435551951,0.928305485003693,0.045990028836831516,0.981720234910809,0.9756025708629883,0.9645112925161101,0.9244394737270253,0.9543878786083951,-0.271049484203036,0.9370339256725352,0.055581009862607646,0.9358323091079628,0.9742671164769571,0.9867391115561442,0.9984709353781145,1.0,0.9999516094023542,0.9998821032276367,0.9998531271714579,0.38120102153694113,0.5183694458669112,0.059020603645770976,-0.20633700902351104,0.8563241195099357,-0.46922496005477404,0.06311033386750242,0.030851139326971408,0.3917552355459048,0.13794215246627473,0.09890705404202907,-0.01797777598266071,0.06537775094637877,-0.46922487666389995
ema_0.9,0.982635548943224,0.9351507590061695,0.9303509932426521,0.042058294701234004,0.9815623098806965,0.9758515312408989,0.9655399904661296,0.9261129120986502,0.9562371631111788,-0.2697632696694681,0.9396061575976955,0.05181095454120008,0.9382447416911623,0.9760527152070751,0.9880284978040853,0.9984721617521068,0.9999516094023542,1.0,0.9998795577447447,0.9998584704397493,0.37745785235390394,0.5184304023946327,0.052992614912472015,-0.20615373008704943,0.8588864442489553,-0.470600342983344,0.06218300990877033,0.03113666345742867,0.38621233539633715,0.13178316450698072,0.0976754904103039,-0.016509929682581647,0.061551457527198324,-0.4706002592952982
dema_0.9,0.9812507123587045,0.9329850904738904,0.9281019010894395,0.046645603849616565,0.981026055172218,0.9747853290639811,0.9640468702640645,0.9241515960605813,0.9542364160288668,-0.27003100695001514,0.9368042319990089,0.05662487116516938,0.9355458482329709,0.9737331495070397,0.9860747301743765,0.9977131847700687,0.9998821032276367,0.9998795577447447,1.0,0.9999982465611443,0.38124563446651727,0.517615175310109,0.05729495463777584,-0.20624946369696068,0.856140862767234,-0.46896771795781067,0.0634020409633619,0.030051823044006578,0.3903998019341844,0.14624074561782383,0.10166410350897713,-0.020672965375935062,0.06605221030416229,-0.4689676345682823
tema_0.9,0.9812283777242564,0.9329691296091729,0.928078912938871,0.04646910770593793,0.9809367034647832,0.9747093671034344,0.9640160073868878,0.9241269863471087,0.9542212094322082,-0.2699245973098053,0.9367850244704904,0.056694954108049624,0.9355203411489333,0.9736853222327227,0.9860124956997869,0.9976278513732674,0.9998531271714579,0.9998584704397493,0.9999982465611443,1.0,0.38123554691861034,0.5175609697278778,0.057116345439744566,-0.20623939294518914,0.8561235403078317,-0.46894393061018863,0.06342804096657703,0.02997644816148095,0.3902424383597828,0.14697842320865262,0.10192749436981068,-0.020895780304451512,0.06609080476197916,-0.46894384722086874
momentum_20,0.3265918606394031,0.23435829185192472,0.22354382066440892,0.15692457761248602,0.3775237098213162,0.3617462693807305,0.3310934664615056,0.2842894656057954,0.23391261361198085,-0.19394421164847148,0.13253004085993214,0.0711905690310167,0.08134455153682492,0.23512864254564697,0.29652225761256806,0.3807034082764236,0.38120102153694113,0.37745785235390394,0.38124563446651727,0.38123554691861034,1.0,0.740138022934438,0.6014078582780059,-0.023681553334306597,0.015800635395950644,-0.07185157803252461,0.0788770361746198,0.03219852486689209,0.9041002307124727,0.3979410605859556,0.10215282751083775,-0.054710203642982624,0.07652401653861333,-0.0718515501581017
macd_signal,0.5106164714624688,0.47686087196376264,0.4711449641583648,0.021944807243433402,0.5220067069433907,0.5198813041792526,0.5184330618336543,0.5078987931004945,0.4705601233319969,-0.17036127182316702,0.42384329877554683,-0.11449928526883978,0.34863413174327273,0.47502801052754656,0.5064565513122483,0.5214491003405647,0.5183694458669112,0.5184304023946327,0.517615175310109,0.5175609697278778,0.740138022934438,1.0,0.044004920883748966,0.06594602618294745,0.3143673159918311,-0.2442974218451198,-0.0116375764151585,0.05563389662736884,0.6442138806373117,0.033129720187439024,0.03554895847947292,0.03274645586440411,-0.107510682588863,-0.2442973627421037
macd_hist,-0.008241414483787204,-0.15544978453479674,-0.170151261117084,0.17309260942348603,0.05939680316764493,0.043411319496363926,-0.0014608868049681215,-0.0954293616798351,-0.1356904544599409,-0.1658402433259296,-0.25852280504779496,0.33073931305026766,-0.2326959324735459,-0.12512096830730043,-0.055840914800480534,0.07115339028100812,0.059020603645770976,0.052992614912472015,0.05729495463777584,0.057116345439744566,0.6014078582780059,0.044004920883748966,1.0,-0.11814901957946437,-0.3027224523055627,0.15446568515317394,0.13844975523757372,0.01388110162713529,0.7723092852253182,0.46877879798032746,0.07723739238071924,-0.08932708561742074,0.39988695353044795,0.1544656499531583
adx,-0.2062811944286341,-0.20180167414021508,-0.20136885917799383,0.001073197870122054,-0.22307371727025277,-0.22181697999630465,-0.21956996801303927,-0.21252135301693395,-0.14957091920430007,0.2604305177419235,-0.18756704506139185,-0.07754069050201728,-0.20380062521033598,-0.19841052398739376,-0.20079387808010066,-0.20708572044391077,-0.20633700902351104,-0.20615373008704943,-0.20624946369696068,-0.20623939294518914,-0.023681553334306597,0.06594602618294745,-0.11814901957946437,1.0,-0.34677858831104397,0.4848183303411906,-0.006858347924950742,0.02181738906788392,-0.04265941663128315,-0.040950060809725096,-0.03527170938832162,0.00459521908648244,-0.08296111267917602,0.48481839058939047
bb_lower,0.8722806844054446,0.8822027356614514,0.8835605449612091,-0.055191688721199235,0.8612193509816388,0.8655452382784461,0.8749207765033331,0.87453023160843,0.8634996430171533,-0.33165185877798226,0.9352003913777555,-0.028985351536568473,0.9384549734770523,0.9158538113473919,0.8971167359950494,0.8547992268058066,0.8563241195099357,0.8588864442489553,0.856140862767234,0.8561235403078317,0.015800635395950644,0.3143673159918311,-0.3027224523055627,-0.34677858831104397,1.0,-0.7469520631151697,-0.0028378622809602143,0.005188269743048397,-0.017411822661555616,-0.12256337691772493,0.051560115123176146,0.04197179001506041,-0.045206144583731664,-0.7469520118786087
bb_width,-0.48104360683106645,-0.48840540573337904,-0.4877656971598116,0.03606195588558682,-0.5357138330853288,-0.5404223927135006,-0.5493498535591078,-0.5677667916729365,-0.40096483753956463,0.5099378260521328,-0.5050030150853965,-0.06352977092024589,-0.499034322009937,-0.4981782281697462,-0.4908600358325038,-0.4689247341534468,-0.46922496005477404,-0.470600342983344,-0.46896771795781067,-0.46894393061018863,-0.07185157803252461,-0.2442974218451198,0.15446568515317394,0.4848183303411906,-0.7469520631151697,1.0,0.02512775224988817,0.025680632420242936,-0.03954451676813184,0.07226832251432476,-0.05215038577370627,-0.03837118380664431,-0.05358196445384219,0.9999999999999787
month_2,0.05658934822347623,0.052513260700256116,0.0496877130257048,0.013923035853415125,0.061803223022179186,0.06070034519560136,0.05818845887415835,0.05750191886292522,0.05844620882481288,0.04925435126731489,0.015599429739039538,0.06344454875465076,0.02350838020336277,0.03361211227581969,0.04267524913833647,0.06301679528313198,0.06311033386750242,0.06218300990877033,0.0634020409633619,0.06342804096657703,0.0788770361746198,-0.0116375764151585,0.13844975523757372,-0.006858347924950742,-0.0028378622809602143,0.02512775224988817,1.0,-0.05003949797296055,0.10491037601217208,0.10836569647338408,0.02927716429824218,-0.036673317077831474,0.08923682346993415,0.025127761322916643
is_end_month,0.024934632251122843,0.024683141260727057,0.0256499138444474,0.004121722342902369,0.028920991942587834,0.030055410403769956,0.025649354834448752,0.003347397075669242,0.02248219643849946,-0.04708229549867878,0.03207093913123617,-0.014568563830234114,0.028170864163936448,0.03597297986903359,0.037709773401990325,0.034864632906868344,0.030851139326971408,0.03113666345742867,0.030051823044006578,0.02997644816148095,0.03219852486689209,0.05563389662736884,0.01388110162713529,0.02181738906788392,0.005188269743048397,0.025680632420242936,-0.05003949797296055,1.0,0.033221752427644746,-0.061536808958754345,-0.02798971017857521,0.06201544105795296,0.0022446918317663685,0.02568064295169622
ema_diff_0.5_0.1,0.31987351452542645,0.18213464445758068,0.16802337393442457,0.19917808935371392,0.3936786990544985,0.37432013238065,0.32934722191675314,0.24316734080914135,0.19520914738904113,-0.24540209992110895,0.07524319297654207,0.24160105758464132,0.050978781282924886,0.20743064483478038,0.2804642020664894,0.3982954576503494,0.3917552355459048,0.38621233539633715,0.3903998019341844,0.3902424383597828,0.9041002307124727,0.6442138806373117,0.7723092852253182,-0.04265941663128315,-0.017411822661555616,-0.03954451676813184,0.10491037601217208,0.033221752427644746,1.0,0.4895235949378897,0.11191579072384707,-0.08024959668335198,0.2872092344328965,-0.03954450696153577
dist_to_ema_0.5,0.026507042234728075,-0.05849348546771435,-0.06553583729079501,0.38336269806565637,0.11503444280668515,0.07244921373124488,0.020378266788606478,-0.0360562206524372,-0.04129939854434215,-0.10207400246155572,-0.11377767740024851,0.40103019785486116,-0.10251398321317225,-0.05208129359158167,-0.011910031272974415,0.10066839627931631,0.13794215246627473,0.13178316450698072,0.14624074561782383,0.14697842320865262,0.3979410605859556,0.033129720187439024,0.46877879798032746,-0.040950060809725096,-0.12256337691772493,0.07226832251432476,0.10836569647338408,-0.061536808958754345,0.4895235949378897,1.0,0.2663792661890263,-0.27265005762636013,0.3895158164626972,0.07226830713892977
is_peak,0.057984895984371496,0.04907736007240732,0.04572787513864285,0.1403422460830692,0.0770577735438592,0.0644769630430213,0.0567143938257683,0.062171165306132585,0.04761125686167313,-0.037577516728921644,0.045167451331751256,0.08244490427823642,0.04601709553392335,0.05590985294139206,0.06339895193997848,0.08665410237554041,0.09890705404202907,0.0976754904103039,0.10166410350897713,0.10192749436981068,0.10215282751083775,0.03554895847947292,0.07723739238071924,-0.03527170938832162,0.051560115123176146,-0.05215038577370627,0.02927716429824218,-0.02798971017857521,0.11191579072384707,0.2663792661890263,1.0,-0.22927105241554038,0.07759675148154865,-0.052150387304485936
is_trough,0.023262766368462823,0.03430422940370093,0.03849097711240903,-0.14854341698745377,0.007080470131723374,0.019474183912279414,0.02734308895302531,0.030091881109795077,0.018901781840633996,-0.03136257350617724,0.03760117655929115,-0.07792494347725983,0.031710609324754946,0.027077720927526045,0.01988546531997333,-0.0058035919830062834,-0.01797777598266071,-0.016509929682581647,-0.020672965375935062,-0.020895780304451512,-0.054710203642982624,0.03274645586440411,-0.08932708561742074,0.00459521908648244,0.04197179001506041,-0.03837118380664431,-0.036673317077831474,0.06201544105795296,-0.08024959668335198,-0.27265005762636013,-0.22927105241554038,1.0,-0.05355926501154441,-0.038371184037300124
skew_20,0.028813287214061914,-0.043623822823900364,-0.04699973192355915,0.12753362845992353,0.07919715390742253,0.06646344961823797,0.04473458368664509,-0.0034800014668334915,-0.04596526679538782,-0.10672613820945971,-0.09779860275936779,0.8645658604765127,-0.06102502537445897,-0.037974682578182796,-0.009688936532349379,0.06444394552557026,0.06537775094637877,0.061551457527198324,0.06605221030416229,0.06609080476197916,0.07652401653861333,-0.107510682588863,0.39988695353044795,-0.08296111267917602,-0.045206144583731664,-0.05358196445384219,0.08923682346993415,0.0022446918317663685,0.2872092344328965,0.3895158164626972,0.07759675148154865,-0.05355926501154441,1.0,-0.05358197589970779
coeff_var_20,-0.48104351753361235,-0.48840530799863774,-0.4877655994693949,0.036061940219428046,-0.5357137436908029,-0.5404223012165612,-0.5493497573481609,-0.5677666879170667,-0.4009647381580464,0.5099378541649539,-0.505002923497432,-0.06352978421173693,-0.49903423388238266,-0.4981781387551798,-0.4908599478218341,-0.46892465121197774,-0.46922487666389995,-0.4706002592952982,-0.4689676345682823,-0.46894384722086874,-0.0718515501581017,-0.2442973627421037,0.1544656499531583,0.48481839058939047,-0.7469520118786087,0.9999999999999787,0.025127761322916643,0.02568064295169622,-0.03954450696153577,0.07226830713892977,-0.052150387304485936,-0.038371184037300124,-0.05358197589970779,1.0
